Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.61,0.405840940707811
75% Corpus,7,symmetric,0.9099999999999999,0.4102551406618046
75% Corpus,7,symmetric,symmetric,0.39352490205132756
75% Corpus,7,asymmetric,0.01,0.38581706552391504
75% Corpus,7,asymmetric,0.31,0.3556171825150879
75% Corpus,7,asymmetric,0.61,0.35170636590919313
75% Corpus,7,asymmetric,0.9099999999999999,0.3434503385241423
75% Corpus,7,asymmetric,symmetric,0.3503756495399826
75% Corpus,8,0.01,0.01,0.3933249748319563
75% Corpus,8,0.01,0.31,0.39710634378464416
75% Corpus,8,0.01,0.61,0.39908523400313856
75% Corpus,8,0.01,0.9099999999999999,0.3966386052976777
75% Corpus,8,0.01,symmetric,0.4003309907059991
75% Corpus,8,0.31,0.01,0.42142710050709686
75% Corpus,8,0.31,0.31,0.41520610444160116
75% Corpus,8,0.31,0.61,0.37822856071457966
75% Corpus,8,0.31,0.9099999999999999,0.3879379385961935
75% Corpus,8,0.31,symmetric,0.4165007772396821
75% Corpus,8,0.61,0.01,0.4352739224098967
75% Corpus,8,0.61,0.31,0.43501362634803387
75% Corpus,8,0.61,0.61,0.3948267203484459
75% Corpus,8,0.61,0.9099999999999999,0.3432738513755044
75% Corpus,8,0.61,symmetric,0.43495684922735
75% Corpus,8,0.9099999999999999,0.01,0.3991719306350101
75% Corpus,8,0.9099999999999999,0.31,0.4096066862675038
75% Corpus,8,0.9099999999999999,0.61,0.35726376078480393
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3351242783766697
75% Corpus,8,0.9099999999999999,symmetric,0.40835111951948777
75% Corpus,8,symmetric,0.01,0.40875290856390656
75% Corpus,8,symmetric,0.31,0.39825967886661695
75% Corpus,8,symmetric,0.61,0.38365678408739406
75% Corpus,8,symmetric,0.9099999999999999,0.38810839663734076
75% Corpus,8,symmetric,symmetric,0.39588165052722746
75% Corpus,8,asymmetric,0.01,0.3559634651450957
75% Corpus,8,asymmetric,0.31,0.34517713954094464
75% Corpus,8,asymmetric,0.61,0.4311569924111022
75% Corpus,8,asymmetric,0.9099999999999999,0.3421347787517229
75% Corpus,8,asymmetric,symmetric,0.3576370913730742
75% Corpus,9,0.01,0.01,0.4048737891144496
75% Corpus,9,0.01,0.31,0.3928035876450637
75% Corpus,9,0.01,0.61,0.3869745082363134
75% Corpus,9,0.01,0.9099999999999999,0.36852493854288687
75% Corpus,9,0.01,symmetric,0.3914788897916579
75% Corpus,9,0.31,0.01,0.4105194185926455
75% Corpus,9,0.31,0.31,0.41650538734497666
75% Corpus,9,0.31,0.61,0.3948724341746608
75% Corpus,9,0.31,0.9099999999999999,0.386120004537835
75% Corpus,9,0.31,symmetric,0.4252349033266602
75% Corpus,9,0.61,0.01,0.4125672241424439
75% Corpus,9,0.61,0.31,0.38921559458925714
75% Corpus,9,0.61,0.61,0.36191955445332474
75% Corpus,9,0.61,0.9099999999999999,0.3409959588858975
75% Corpus,9,0.61,symmetric,0.411370602877604
75% Corpus,9,0.9099999999999999,0.01,0.40585486637367557
75% Corpus,9,0.9099999999999999,0.31,0.3978693009736356
75% Corpus,9,0.9099999999999999,0.61,0.35893116458162533
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.31025500800781913
75% Corpus,9,0.9099999999999999,symmetric,0.40584560457642693
75% Corpus,9,symmetric,0.01,0.40301239378595294
75% Corpus,9,symmetric,0.31,0.398800705109674
75% Corpus,9,symmetric,0.61,0.41164552238819735
75% Corpus,9,symmetric,0.9099999999999999,0.40110458456526815
75% Corpus,9,symmetric,symmetric,0.3902519977989879
75% Corpus,9,asymmetric,0.01,0.37751717881303715
75% Corpus,9,asymmetric,0.31,0.3188635507605288
75% Corpus,9,asymmetric,0.61,0.3163491292055365
75% Corpus,9,asymmetric,0.9099999999999999,0.377310788135294
75% Corpus,9,asymmetric,symmetric,0.33766178533355357
75% Corpus,10,0.01,0.01,0.3973207440835186
75% Corpus,10,0.01,0.31,0.3982578607291947
75% Corpus,10,0.01,0.61,0.3733044639079899
75% Corpus,10,0.01,0.9099999999999999,0.37916442870771644
75% Corpus,10,0.01,symmetric,0.40644291003616306
75% Corpus,10,0.31,0.01,0.42165879949094026
75% Corpus,10,0.31,0.31,0.40203817519612944
75% Corpus,10,0.31,0.61,0.3810704228325386
75% Corpus,10,0.31,0.9099999999999999,0.35569728343027335
75% Corpus,10,0.31,symmetric,0.41554893123878
75% Corpus,10,0.61,0.01,0.411410547804563
75% Corpus,10,0.61,0.31,0.3872807739980832
75% Corpus,10,0.61,0.61,0.3547308918463716
75% Corpus,10,0.61,0.9099999999999999,0.3295009309859242
75% Corpus,10,0.61,symmetric,0.4136538071569407
75% Corpus,10,0.9099999999999999,0.01,0.40876659184885245
75% Corpus,10,0.9099999999999999,0.31,0.3733509535578839
75% Corpus,10,0.9099999999999999,0.61,0.3400720159162142
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3881089534590224
75% Corpus,10,0.9099999999999999,symmetric,0.39612958453822716
75% Corpus,10,symmetric,0.01,0.38773336755711674
75% Corpus,10,symmetric,0.31,0.3999959736587554
75% Corpus,10,symmetric,0.61,0.404401553557402
75% Corpus,10,symmetric,0.9099999999999999,0.38446290330258254
75% Corpus,10,symmetric,symmetric,0.40355921626570207
75% Corpus,10,asymmetric,0.01,0.3523326070431376
75% Corpus,10,asymmetric,0.31,0.3333684346052904
75% Corpus,10,asymmetric,0.61,0.3525822574269567
75% Corpus,10,asymmetric,0.9099999999999999,0.25106009783735594
75% Corpus,10,asymmetric,symmetric,0.3411890893108281
100% Corpus,2,0.01,0.01,0.43970356184250026
100% Corpus,2,0.01,0.31,0.42325669543044553
100% Corpus,2,0.01,0.61,0.399317066986311
100% Corpus,2,0.01,0.9099999999999999,0.34695565897276925
100% Corpus,2,0.01,symmetric,0.36727866577318513
100% Corpus,2,0.31,0.01,0.39090634664963286
100% Corpus,2,0.31,0.31,0.4337449314937938
100% Corpus,2,0.31,0.61,0.4438913536730623
100% Corpus,2,0.31,0.9099999999999999,0.4438913536730622
100% Corpus,2,0.31,symmetric,0.43296959126666995
100% Corpus,2,0.61,0.01,0.42751567504554244
100% Corpus,2,0.61,0.31,0.42829538807218226
100% Corpus,2,0.61,0.61,0.4477285875712993
100% Corpus,2,0.61,0.9099999999999999,0.461183084409735
